"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Afghanistan","1982","Not applicable","Not applicable","Percent","1.72998"
"Afghanistan","1981","Not applicable","Not applicable","Percent","1.90917"
"Afghanistan","1980","Not applicable","Not applicable","Percent","1.84093"
"Afghanistan","1979","Not applicable","Not applicable","Percent","1.73981"
"Afghanistan","1975","Not applicable","Not applicable","Percent","1.30332"
"Albania","2007","Not applicable","Not applicable","Percent","3.26868"
"Albania","2006","Not applicable","Not applicable","Percent","3.10882"
"Albania","2005","Not applicable","Not applicable","Percent","3.15439"
"Albania","2004","Not applicable","Not applicable","Percent","3.10656"
"Albania","2003","Not applicable","Not applicable","Percent","3.11557"
"Albania","2002","Not applicable","Not applicable","Percent","3.04681"
"Albania","2001","Not applicable","Not applicable","Percent","3.31589"
"Albania","2000","Not applicable","Not applicable","Percent","3.23823"
"Albania","1999","Not applicable","Not applicable","Percent","3.36038"
"Albania","1998","Not applicable","Not applicable","Percent","3.30127"
"Albania","1997","Not applicable","Not applicable","Percent","3.47532"
"Albania","1996","Not applicable","Not applicable","Percent","3.27428"
"Albania","1995","Not applicable","Not applicable","Percent","3.76471"
"Albania","1994","Not applicable","Not applicable","Percent","3.26519"
"Algeria","2008","Not applicable","Not applicable","Percent","4.33702"
"Algeria","1980","Not applicable","Not applicable","Percent","6.59742"
"Algeria","1979","Not applicable","Not applicable","Percent","7.18201"
"Andorra","2011","Not applicable","Not applicable","Percent","3.08816"
"Andorra","2010","Not applicable","Not applicable","Percent","3.01185"
"Andorra","2009","Not applicable","Not applicable","Percent","3.12079"
"Andorra","2008","Not applicable","Not applicable","Percent","3.16329"
"Andorra","2007","Not applicable","Not applicable","Percent","2.56318"
"Andorra","2006","Not applicable","Not applicable","Percent","2.74799"
"Andorra","2005","Not applicable","Not applicable","Percent","2.04658"
"Andorra","2004","Not applicable","Not applicable","Percent","1.92506"
"Andorra","2002","Not applicable","Not applicable","Percent","2.00139"
"Andorra","1997","Not applicable","Not applicable","Percent","3.71328"
"Angola","2010","Not applicable","Not applicable","Percent","3.47644"
"Angola","2006","Not applicable","Not applicable","Percent","2.85969"
"Angola","2005","Not applicable","Not applicable","Percent","2.7762"
"Angola","2000","Not applicable","Not applicable","Percent","2.60753"
"Angola","1998","Not applicable","Not applicable","Percent","2.59149"
"Angola","1987","Not applicable","Not applicable","Percent","5.53863"
"Angola","1986","Not applicable","Not applicable","Percent","6.36756"
"Angola","1985","Not applicable","Not applicable","Percent","4.54063"
"Anguilla","2008","Not applicable","Not applicable","Percent","2.84263"
"Antigua and Barbuda","2009","Not applicable","Not applicable","Percent","2.55471"
"Antigua and Barbuda","2002","Not applicable","Not applicable","Percent","3.42841"
"Antigua and Barbuda","1999","Not applicable","Not applicable","Percent","3.23707"
"Argentina","2012","Not applicable","Not applicable","Percent","5.13759"
"Argentina","2011","Not applicable","Not applicable","Percent","5.00529"
"Argentina","2010","Not applicable","Not applicable","Percent","4.60777"
"Argentina","2009","Not applicable","Not applicable","Percent","4.89"
"Argentina","2008","Not applicable","Not applicable","Percent","4.33782"
"Argentina","2007","Not applicable","Not applicable","Percent","3.89635"
"Argentina","2006","Not applicable","Not applicable","Percent","3.65499"
"Argentina","2005","Not applicable","Not applicable","Percent","3.47405"
"Argentina","2004","Not applicable","Not applicable","Percent","3.15654"
"Argentina","2003","Not applicable","Not applicable","Percent","2.91825"
"Argentina","2002","Not applicable","Not applicable","Percent","3.31639"
"Argentina","2001","Not applicable","Not applicable","Percent","3.99034"
"Argentina","2000","Not applicable","Not applicable","Percent","3.78114"
"Argentina","1999","Not applicable","Not applicable","Percent","3.73273"
"Argentina","1998","Not applicable","Not applicable","Percent","3.33499"
"Argentina","1996","Not applicable","Not applicable","Percent","3.08082"
"Argentina","1990","Not applicable","Not applicable","Percent","1.06738"
"Argentina","1989","Not applicable","Not applicable","Percent","1.04612"
"Argentina","1987","Not applicable","Not applicable","Percent","1.2823"
"Argentina","1986","Not applicable","Not applicable","Percent","1.26155"
"Argentina","1985","Not applicable","Not applicable","Percent","1.36186"
"Argentina","1984","Not applicable","Not applicable","Percent","2.56972"
"Argentina","1983","Not applicable","Not applicable","Percent","1.6175"
"Argentina","1982","Not applicable","Not applicable","Percent","1.59787"
"Argentina","1980","Not applicable","Not applicable","Percent","2.60715"
"Argentina","1979","Not applicable","Not applicable","Percent","2.40028"
"Argentina","1978","Not applicable","Not applicable","Percent","1.93555"
"Argentina","1977","Not applicable","Not applicable","Percent","1.71984"
"Argentina","1976","Not applicable","Not applicable","Percent","1.16564"
"Argentina","1975","Not applicable","Not applicable","Percent","1.8436"
"Armenia","2013","Not applicable","Not applicable","Percent","2.25015"
"Armenia","2012","Not applicable","Not applicable","Percent","3.27524"
"Armenia","2011","Not applicable","Not applicable","Percent","3.14385"
"Armenia","2010","Not applicable","Not applicable","Percent","3.249"
"Armenia","2009","Not applicable","Not applicable","Percent","3.84079"
"Armenia","2008","Not applicable","Not applicable","Percent","3.17273"
"Armenia","2007","Not applicable","Not applicable","Percent","3.01894"
"Armenia","2006","Not applicable","Not applicable","Percent","2.71577"
"Armenia","2005","Not applicable","Not applicable","Percent","2.71203"
"Armenia","2004","Not applicable","Not applicable","Percent","2.48673"
"Armenia","2003","Not applicable","Not applicable","Percent","2.14504"
"Armenia","2002","Not applicable","Not applicable","Percent","2.13504"
"Armenia","2001","Not applicable","Not applicable","Percent","2.46944"
"Armenia","2000","Not applicable","Not applicable","Percent","2.77273"
"Armenia","1999","Not applicable","Not applicable","Percent","2.23519"
"Armenia","1996","Not applicable","Not applicable","Percent","1.84843"
"Aruba","2011","Not applicable","Not applicable","Percent","6.03687"
"Aruba","2010","Not applicable","Not applicable","Percent","6.71249"
"Aruba","2009","Not applicable","Not applicable","Percent","5.92467"
"Aruba","2008","Not applicable","Not applicable","Percent","4.91559"
"Aruba","2007","Not applicable","Not applicable","Percent","4.79918"
"Aruba","2005","Not applicable","Not applicable","Percent","4.68076"
"Aruba","2004","Not applicable","Not applicable","Percent","4.4089"
"Aruba","2002","Not applicable","Not applicable","Percent","4.92427"
"Aruba","2001","Not applicable","Not applicable","Percent","4.73949"
"Aruba","2000","Not applicable","Not applicable","Percent","4.71468"
"Aruba","1999","Not applicable","Not applicable","Percent","4.39554"
"Aruba","1998","Not applicable","Not applicable","Percent","4.76316"
"Australia","2011","Not applicable","Not applicable","Percent","5.11041"
"Australia","2010","Not applicable","Not applicable","Percent","5.57098"
