"Reference_Area","Time_Period","Sex","Age_group","Units_of_measurement","Observation_Value"
"Afghanistan","2011","Female","15-24 year olds","Percent","32.1132230175575"
"Afghanistan","2011","Male","15-24 year olds","Percent","61.8790689519272"
"Afghanistan","2011","All genders","15-24 year olds","Percent","46.9900508166446"
"Afghanistan","1979","All genders","15-24 year olds","Percent","30.0663526018593"
"Afghanistan","1979","Male","15-24 year olds","Percent","45.7960161921035"
"Afghanistan","1979","Female","15-24 year olds","Percent","11.1427980173238"
"Albania","2011","Male","15-24 year olds","Percent","98.7313568746585"
"Albania","2011","All genders","15-24 year olds","Percent","98.7911901599771"
"Albania","2011","Female","15-24 year olds","Percent","98.8562401263823"
"Albania","2008","All genders","15-24 year olds","Percent","98.831206963506"
"Albania","2008","Male","15-24 year olds","Percent","98.5371249833114"
"Albania","2008","Female","15-24 year olds","Percent","99.1213215925341"
"Albania","2001","Female","15-24 year olds","Percent","99.4980818767758"
"Albania","2001","Male","15-24 year olds","Percent","99.3684555868442"
"Albania","2001","All genders","15-24 year olds","Percent","99.4351514416058"
"Algeria","2006","Male","15-24 year olds","Percent","94.3814797699331"
"Algeria","2006","All genders","15-24 year olds","Percent","91.7796405188312"
"Algeria","2006","Female","15-24 year olds","Percent","89.1382394562374"
"Algeria","2002","Male","15-24 year olds","Percent","94.0575423500941"
"Algeria","2002","All genders","15-24 year olds","Percent","90.1372096182584"
"Algeria","2002","Female","15-24 year olds","Percent","86.1339923119165"
"Algeria","1987","Male","15-24 year olds","Percent","86.2300899212712"
"Algeria","1987","All genders","15-24 year olds","Percent","74.3272668947819"
"Algeria","1987","Female","15-24 year olds","Percent","62.2114816141408"
"American Samoa","1980","Male","15-24 year olds","Percent","97.8886168910649"
"American Samoa","1980","Female","15-24 year olds","Percent","97.4436503573392"
"American Samoa","1980","All genders","15-24 year olds","Percent","97.6542137271937"
"Angola","2012","Female","15-24 year olds","Percent","66.36176"
"Angola","2012","All genders","15-24 year olds","Percent","73.00776"
"Angola","2012","Male","15-24 year olds","Percent","79.75085"
"Angola","2001","Female","15-24 year olds","Percent","63.1821170282709"
"Angola","2001","Male","15-24 year olds","Percent","83.7769328263625"
"Angola","2001","All genders","15-24 year olds","Percent","72.1944906637086"
"Anguilla","1984","Male","15-24 year olds","Percent","99.1240875912409"
"Anguilla","1984","All genders","15-24 year olds","Percent","99.1137370753324"
"Anguilla","1984","Female","15-24 year olds","Percent","99.1031390134529"
"Argentina","2012","Female","15-24 year olds","Percent","99.42428"
"Argentina","2012","All genders","15-24 year olds","Percent","99.23841"
"Argentina","2012","Male","15-24 year olds","Percent","99.0579"
"Argentina","2001","Female","15-24 year olds","Percent","99.1276725279333"
"Argentina","2001","All genders","15-24 year olds","Percent","98.9166583041663"
"Argentina","2001","Male","15-24 year olds","Percent","98.707897833956"
"Argentina","1991","Male","15-24 year olds","Percent","98.0654903516231"
"Argentina","1991","Female","15-24 year olds","Percent","98.5402086594614"
"Argentina","1991","All genders","15-24 year olds","Percent","98.3046406952345"
"Argentina","1980","All genders","15-24 year olds","Percent","96.8825434303368"
"Argentina","1980","Female","15-24 year olds","Percent","97.3024798494237"
"Argentina","1980","Male","15-24 year olds","Percent","96.4592191149829"
"Armenia","2012","Female","15-24 year olds","Percent","99.8222"
"Armenia","2012","All genders","15-24 year olds","Percent","99.74541"
"Armenia","2012","Male","15-24 year olds","Percent","99.68284"
